water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,empty,empty,wild_enemy,item,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,empty,empty,empty,empty,water,water,water,water,water,water,water,water
water,water,water,water,water,water,empty,part,empty,empty,empty,water,water,water,water,water,water,water,water
water,water,water,water,empty,empty,wild_enemy,empty,empty,water,empty,water,water,water,water,water,water,water,water
water,water,water,water,empty,empty,empty,empty,water,water,empty,water,water,water,water,water,water,water,water
water,water,water,water,water,empty,empty,water,water,water,item,empty,empty,water,water,water,water,water,water
water,water,water,water,water,empty,empty,water,water,water,empty,empty,empty,water,water,water,water,water,water
water,water,water,water,water,empty,empty,water,water,water,empty,empty,empty,empty,empty,empty,empty,empty,water
water,water,water,water,empty,empty,item,water,water,water,empty,empty,water,empty,part,empty,empty,empty,water
water,water,water,water,empty,empty,water,water,water,water,wild_enemy,empty,water,empty,empty,item,empty,empty,water
water,water,water,water,empty,empty,water,water,water,water,water,empty,water,water,empty,empty,water,water,water
water,wild_enemy,empty,water,water,empty,empty,water,water,water,water,empty,water,water,start,water,water,water,water
water,part,empty,empty,empty,empty,empty,water,water,water,water,empty,empty,empty,empty,empty,empty,empty,water
water,wild_enemy,empty,empty,empty,empty,empty,item,empty,empty,part,water,empty,item,empty,empty,empty,item,water
water,water,water,empty,wild_enemy,water,water,water,empty,wild_enemy,empty,water,empty,water,empty,empty,part,water,water
water,water,water,water,empty,empty,empty,water,empty,empty,empty,water,empty,water,empty,empty,water,water,water
water,water,water,water,empty,empty,empty,water,wild_enemy,empty,empty,water,empty,empty,empty,empty,empty,empty,water
water,water,water,water,empty,empty,empty,empty,empty,empty,water,water,water,water,empty,empty,water,water,water
water,water,wild_enemy,empty,item,empty,empty,empty,empty,empty,water,water,water,water,wild_enemy,empty,empty,part,water
water,water,part,empty,empty,empty,empty,water,empty,finish,water,water,water,water,empty,empty,empty,empty,water
water,water,wild_enemy,item,empty,empty,empty,item,empty,empty,empty,water,water,water,water,empty,empty,wild_enemy,water
water,water,water,,empty,empty,empty,water,empty,wild_enemy,empty,water,water,water,water,empty,empty,empty,water
water,water,water,,empty,wild_enemy,empty,water,water,water,water,water,water,water,water,empty,empty,empty,water
water,water,water,empty,empty,part,empty,water,water,water,water,water,water,water,water,item,empty,empty,water
water,water,water,empty,empty,empty,empty,water,water,water,water,water,water,water,water,empty,empty,water,water
water,water,water,empty,empty,empty,water,water,water,water,water,water,water,water,water,empty,empty,water,water
water,water,water,empty,empty,empty,water,water,water,water,water,water,water,water,water,empty,empty,water,water
water,water,water,water,empty,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
